scenario,modulation,NR,NRdB,k,powerPolicy,BER,upper95,numErrors,numBits,numRealizations,throughputMbps,payloadSE,occupancyPct,boostDb,seed,sourceFile
no_compensation,16-QAM,256,24.0823996531185,NaN,not_applicable,0.273551940917969,NaN,35855,131072,1,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase7_propuesta\official\no_compensation_final_results.mat
proposal,16-QAM,256,24.0823996531185,4,boosted,4.99469363747954e-08,NaN,1,20021248,611,115.658408686161,0.470615269719078,12.5,9.03089986991944,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\proposal_16qam\results\checkpoint_f_16qam_ber_montecarlo_boosted_results.mat
single_satellite,16-QAM,400,26.0205999132796,NaN,not_applicable,0.0140106201171875,NaN,9182,655360,5,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\comparison_scenarios\results\montecarlo_scenario_a_b_results.mat
baseline_compensated,16-QAM,400,26.0205999132796,NaN,not_applicable,0.00421905517578125,NaN,553,131072,1,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase6_baseline\baseline_no_geom_ber_results.mat
no_compensation,16-QAM,400,26.0205999132796,NaN,not_applicable,0.270622253417969,NaN,35471,131072,1,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase7_propuesta\official\no_compensation_final_results.mat
proposal,16-QAM,400,26.0205999132796,4,boosted,0,1.49627638057481e-07,0,20021248,611,115.658408686161,0.470615269719078,12.5,9.03089986991944,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\proposal_16qam\results\checkpoint_f_16qam_ber_montecarlo_boosted_results.mat
single_satellite,16-QAM,576,27.6042248342321,NaN,not_applicable,0.00462188720703125,NaN,3029,655360,5,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\comparison_scenarios\results\montecarlo_scenario_a_b_results.mat
baseline_compensated,16-QAM,576,27.6042248342321,NaN,not_applicable,0.0012359619140625,NaN,324,262144,2,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase6_baseline\baseline_no_geom_ber_results.mat
no_compensation,16-QAM,576,27.6042248342321,NaN,not_applicable,0.268753051757812,NaN,35226,131072,1,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase7_propuesta\official\no_compensation_final_results.mat
proposal,16-QAM,576,27.6042248342321,4,boosted,0,1.49627638057481e-07,0,20021248,611,115.658408686161,0.470615269719078,12.5,9.03089986991944,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\proposal_16qam\results\checkpoint_f_16qam_ber_montecarlo_boosted_results.mat
